gene	entrezgene	name	PC1
SOS1-IT1	100505911	SOS1 intronic transcript 1	0.0954987321619823
CISH	1154	cytokine inducible SH2 containing protein	0.0910991826647472
SLC15A2	6565	solute carrier family 15 member 2	0.0898942876464031
VN1R108P	100312850	vomeronasal 1 receptor 108 pseudogene	0.0891825815087969
TNFSF14	8740	TNF superfamily member 14	0.0881514143888626
PPP1R10	5514	protein phosphatase 1 regulatory subunit 10	0.0869238473880766
RNA5SP425	100873676	RNA, 5S ribosomal pseudogene 425	0.0865738641159072
RNU6-100P	106481208	RNA, U6 small nuclear 100, pseudogene	0.0859290602661194
SLFN11	91607	schlafen family member 11	0.0855167295937699
ALAS1	211	5'-aminolevulinate synthase 1	0.0849863421214881
PPM1D	8493	protein phosphatase, Mg2+/Mn2+ dependent 1D	0.0844724351487626
TNFRSF1A	7132	TNF receptor superfamily member 1A	0.0842763462910649
MMP24-AS1			0.0834011297986882
EAF2	55840	ELL associated factor 2	0.0828510859886448
TRIM27	5987	tripartite motif containing 27	0.0814969736591251
CD180	4064	CD180 molecule	0.0812939491941401
EBLN2	55096	endogenous Bornavirus like nucleoprotein 2	0.0807318306680166
RN7SKP56	106481807	RNA, 7SK small nuclear pseudogene 56	0.0801883904252406
ZNF594	84622	zinc finger protein 594	0.0795620160581162
HNMT	3176	histamine N-methyltransferase	0.0788430348647999
NRBF2	29982	nuclear receptor binding factor 2	0.0786884691837818
GIMAP8	155038	GTPase, IMAP family member 8	0.0780373929336695
TAS2R3	50831	taste 2 receptor member 3	0.0776827561720616
CASP4	837	caspase 4	0.0774477288152981
RNA5SP435	106479013	RNA, 5S ribosomal pseudogene 435	0.0773447247507546
IWS1	55677	IWS1, SUPT6H interacting protein	0.0769912752424925
LOC100506458			0.0767717257698224
RP11-61L14.6			0.0766606500210154
MOSPD2	158747	motile sperm domain containing 2	0.0765510960404456
AP006621.6			0.0760725291208901
TTC9C	283237	tetratricopeptide repeat domain 9C	0.07591480208398
TAS2R4	50832	taste 2 receptor member 4	0.0757244345882138
MIR4748	100616425	microRNA 4748	0.0754774765023527
SNX20	124460	sorting nexin 20	0.0752625843047261
FASLG	356	Fas ligand	0.0747920121386187
RP5-1091N2.9			0.0744500734865119
HCG8			0.0738955216725863
NQO2	4835	N-ribosyldihydronicotinamide:quinone reductase 2	0.0737550723822769
NFE2	4778	nuclear factor, erythroid 2	0.0733573778510746
ID3	3399	inhibitor of DNA binding 3, HLH protein	0.0733356565388991
P2RY13	53829	purinergic receptor P2Y13	0.0732597549824968
MITD1	129531	microtubule interacting and trafficking domain containing 1	0.0731493836664262
RP11-356M20.3			0.0726498701994535
RNU2-58P	106481652	RNA, U2 small nuclear 58, pseudogene	0.0726203949713837
RN7SKP269	106480915	RNA, 7SK small nuclear pseudogene 269	0.0724735828127572
KBTBD7	84078	kelch repeat and BTB domain containing 7	0.0720685041692528
SERAC1	84947	serine active site containing 1	0.0713304837143666
LINC00324	284029	long intergenic non-protein coding RNA 324	0.0708451937625505
ZNF200	7752	zinc finger protein 200	0.0708352143029803
CARD6	84674	caspase recruitment domain family member 6	0.0707778650041916
MTG2	26164	mitochondrial ribosome associated GTPase 2	0.0706773641771503
HSD17B7P2	158160	hydroxysteroid 17-beta dehydrogenase 7 pseudogene 2	0.0704520517187862
TRAJ11	28744	T cell receptor alpha joining 11	0.0703422589340446
MTRNR2L2	100462981	MT-RNR2 like 2	0.0702677358063504
MIR4263	100422965	microRNA 4263	0.0702549686699441
STIP1	10963	stress induced phosphoprotein 1	0.0702420536679162
CALHM2	51063	calcium homeostasis modulator family member 2	0.0700748407310902
B3GALT2	8707	beta-1,3-galactosyltransferase 2	0.0699582129996145
IDH1	3417	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	0.0698924411025837
SIGLEC9	27180	sialic acid binding Ig like lectin 9	0.0696955732458987
C17orf80	55028	chromosome 17 open reading frame 80	0.0691685115787156
MSANTD2	79684	Myb/SANT DNA binding domain containing 2	0.0688687696542228
NPL	80896	N-acetylneuraminate pyruvate lyase	0.0688095574702919
RNU6-196P	106481238	RNA, U6 small nuclear 196, pseudogene	0.0684599270952685
MIR4677	100616343	microRNA 4677	0.068213095181641
ZNF100	163227	zinc finger protein 100	0.0679636514109881
WSB1	26118	WD repeat and SOCS box containing 1	0.0677763718263318
NAGK	55577	N-acetylglucosamine kinase	0.0677430183729647
GIMAP2	26157	GTPase, IMAP family member 2	0.0677091562755381
CASP10	843	caspase 10	0.0675843959666809
LFNG	3955	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	0.0675307564238157
PGBD2	267002	piggyBac transposable element derived 2	0.0672920430423895
TMEM81	388730	transmembrane protein 81	0.0670012374896114
C18orf54	162681	chromosome 18 open reading frame 54	0.0669753647151103
C9orf106	414318	chromosome 9 open reading frame 106 (putative)	0.0667115319770744
SLFN12	55106	schlafen family member 12	0.0665328456190175
TRAJ19	28736	T cell receptor alpha joining 19 (non-functional)	0.0662539570481622
HSPH1	10808	heat shock protein family H (Hsp110) member 1	0.0662495096155735
DPAGT1	1798	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1	0.0662131311728084
RNU6-177P	106481232	RNA, U6 small nuclear 177, pseudogene	0.0662072070145192
E2F3-IT1	100874268	E2F3 intronic transcript 1	0.0661958370174219
AC006369.2			0.0659945255264453
ZNF613	79898	zinc finger protein 613	0.0658395383365046
RP11-30K9.4			0.0656758504720308
RNU6-1053P	106481513	RNA, U6 small nuclear 1053, pseudogene	0.0656386271001395
MPZL3	196264	myelin protein zero like 3	0.0655258412273138
HAL	3034	histidine ammonia-lyase	0.0653876387260851
APAF1	317	apoptotic peptidase activating factor 1	0.0652639836361477
RP11-589M4.1			0.0649089601027653
MS4A14	84689	membrane spanning 4-domains A14	0.064854084338394
ZNF691	51058	zinc finger protein 691	0.064793792714264
ZNF710	374655	zinc finger protein 710	0.0645673085142739
LOC101928113			0.0645646718605355
LOC100507079			0.0645485099269388
