gene	entrezgene	name	PC1
SOS1-IT1	100505911	SOS1 intronic transcript 1	0.0945768255871302
TNFSF14	8740	TNF superfamily member 14	0.0933240100452989
MIR223	407008	microRNA 223	0.0930428131275886
SNAPC3	6619	small nuclear RNA activating complex polypeptide 3	0.0914799279883981
EBLN2	55096	endogenous Bornavirus like nucleoprotein 2	0.090899563303736
MIR15A	406948	microRNA 15a	0.0907762542866916
CISH	1154	cytokine inducible SH2 containing protein	0.0888243787921719
FAM118B	79607	family with sequence similarity 118 member B	0.0870837812774612
ARL11	115761	ADP ribosylation factor like GTPase 11	0.0866269242498093
MFAP1	4236	microfibril associated protein 1	0.0856427815942999
SERAC1	84947	serine active site containing 1	0.0852650691972765
NRBF2	29982	nuclear receptor binding factor 2	0.0843638129076161
DLEU2	8847	deleted in lymphocytic leukemia 2 (non-protein coding)	0.0842746515140161
TAS2R4	50832	taste 2 receptor member 4	0.0828576896981954
P2RY13	53829	purinergic receptor P2Y13	0.0828175021760173
MOSPD2	158747	motile sperm domain containing 2	0.0824680840229618
LOC727896	727896	cysteine and histidine rich domain containing 1 pseudogene	0.0820390584329096
TAS2R3	50831	taste 2 receptor member 3	0.0816890847843524
FBXO9	26268	F-box protein 9	0.0815748556163186
HCP5	10866	HLA complex P5 (non-protein coding)	0.0814172023864769
NABP1	64859	nucleic acid binding protein 1	0.0813342368974831
NQO2	4835	N-ribosyldihydronicotinamide:quinone reductase 2	0.0812665507363681
HAL	3034	histidine ammonia-lyase	0.0804569877456837
TAF1A	9015	TATA-box binding protein associated factor, RNA polymerase I subunit A	0.0804353175317519
TNFRSF1A	7132	TNF receptor superfamily member 1A	0.0802940154358771
HRH4	59340	histamine receptor H4	0.0800909378901904
GIMAP4	55303	GTPase, IMAP family member 4	0.0799208787663672
NPL	80896	N-acetylneuraminate pyruvate lyase	0.079754612392109
TMOD2	29767	tropomodulin 2	0.0796551174493136
COQ2	27235	coenzyme Q2, polyprenyltransferase	0.079595163359802
MIR4677	100616343	microRNA 4677	0.0794551612105067
COPB2	9276	coatomer protein complex subunit beta 2	0.0791563496360311
SLFN12	55106	schlafen family member 12	0.0787792293134351
RNU6-759P	106479902	RNA, U6 small nuclear 759, pseudogene	0.0783999159625632
ZNF2	7549	zinc finger protein 2	0.0779115831328762
TMEM144	55314	transmembrane protein 144	0.0777634105890144
FAM111A	63901	family with sequence similarity 111 member A	0.077575117790662
APAF1	317	apoptotic peptidase activating factor 1	0.0774841932797721
MIR548J	100313914	microRNA 548j	0.0774629039555572
GNRH1	2796	gonadotropin releasing hormone 1	0.0772294390368222
RNU2-58P	106481652	RNA, U2 small nuclear 58, pseudogene	0.077208567106742
PHF23	79142	PHD finger protein 23	0.0769490209255049
IDH1	3417	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	0.0768518046896187
ALKBH1	8846	alkB homolog 1, histone H2A dioxygenase	0.0767353133437945
LINC00894	100272228	long intergenic non-protein coding RNA 894	0.0766792667194983
LINC00294	283267	long intergenic non-protein coding RNA 294	0.0764742585403596
RNU6-892P	106481460	RNA, U6 small nuclear 892, pseudogene	0.0758490949422392
RP11-30K9.4			0.0754306564132764
RP11-356N1.2			0.0749847358958203
FGD4	121512	FYVE, RhoGEF and PH domain containing 4	0.0747831209006062
AMICA1			0.0747233017871337
RCBTB2	1102	RCC1 and BTB domain containing protein 2	0.0745795712118223
HSD17B7P2	158160	hydroxysteroid 17-beta dehydrogenase 7 pseudogene 2	0.0741873193295843
HCG8			0.0741155370688558
MSANTD2	79684	Myb/SANT DNA binding domain containing 2	0.0737764391333448
RP11-589M4.1			0.073675964044018
PLD1	5337	phospholipase D1	0.0736595634803698
C14orf119	55017	chromosome 14 open reading frame 119	0.0735855281909374
