gene	entrezgene	name	PC1
EPB41L3	23136	erythrocyte membrane protein band 4.1 like 3	0.116949611885725
STAT2	6773	signal transducer and activator of transcription 2	0.110097619172358
CRISPLD2	83716	cysteine rich secretory protein LCCL domain containing 2	0.109977849911982
FGR	2268	FGR proto-oncogene, Src family tyrosine kinase	0.109884186640549
CLEC6A	93978	C-type lectin domain containing 6A	0.109815113673273
OAS1	4938	2'-5'-oligoadenylate synthetase 1	0.109713256225468
SAMD9L	219285	sterile alpha motif domain containing 9 like	0.108940432293486
FGD4	121512	FYVE, RhoGEF and PH domain containing 4	0.108819033603741
SECTM1	6398	secreted and transmembrane 1	0.108048222236586
FRMD3	257019	FERM domain containing 3	0.10737216053792
GBP1	2633	guanylate binding protein 1	0.106898975252429
PIK3AP1	118788	phosphoinositide-3-kinase adaptor protein 1	0.106618475291964
STX11	8676	syntaxin 11	0.106386293118712
THEMIS2	9473	thymocyte selection associated family member 2	0.10593903030035
OASL	8638	2'-5'-oligoadenylate synthetase like	0.105617193138455
MCTP1	79772	multiple C2 and transmembrane domain containing 1	0.105441292440347
LPCAT2	54947	lysophosphatidylcholine acyltransferase 2	0.104539452944733
SLC8A1	6546	solute carrier family 8 member A1	0.104302999393028
KCNMB1	3779	potassium calcium-activated channel subfamily M regulatory beta subunit 1	0.103087795045217
SPTLC2	9517	serine palmitoyltransferase long chain base subunit 2	0.102604355513343
STAT1	6772	signal transducer and activator of transcription 1	0.102551799799514
LILRA1	11024	leukocyte immunoglobulin like receptor A1	0.101727419306514
MLKL	197259	mixed lineage kinase domain like pseudokinase	0.101348698514987
OAS3	4940	2'-5'-oligoadenylate synthetase 3	0.101172195457419
IRF1	3659	interferon regulatory factor 1	0.100202100776699
CNTLN	54875	centlein	0.0994781771604308
MX1	4599	MX dynamin like GTPase 1	0.0993609117049536
TMEM150B	284417	transmembrane protein 150B	0.0988574762221114
CYSLTR2	57105	cysteinyl leukotriene receptor 2	0.0987047884990705
IRF7	3665	interferon regulatory factor 7	0.0982986044688588
SKAP2	8935	src kinase associated phosphoprotein 2	0.0978961155806827
GBP5	115362	guanylate binding protein 5	0.0977750091868586
PRRG4	79056	proline rich and Gla domain 4	0.0976464056384729
FCGR1B	2210	Fc fragment of IgG receptor Ib	0.0975585008542843
IFI6	2537	interferon alpha inducible protein 6	0.0972522773794783
CD300A	11314	CD300a molecule	0.0971280726129314
VAMP5	10791	vesicle associated membrane protein 5	0.0968291245966138
SLC11A1	6556	solute carrier family 11 member 1	0.0964800891354498
CD300LF	146722	CD300 molecule like family member f	0.0958184869787033
ALPK1	80216	alpha kinase 1	0.0957223339558576
PLA2G4A	5321	phospholipase A2 group IVA	0.0956776732680608
